"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC10_ic_glance_allocation_time",1,"LC",26,21,2.77,4.12,0.67,0.1,17.02,NA
"TC10_ic_glance_allocation_time",2,"HC",33,29,3.56,4.34,1.07,0.48,15.37,NA
"TC10_ic_glance_allocation_time",2,"LC",28,19,3.71,5.47,0.8,0.26,18.7,NA
"TC10_ic_glance_allocation_time",3,"HC",23,17,5.22,5.58,1.69,0.49,15.86,NA
"TC10_ic_glance_allocation_time",3,"LC",19,7,9.83,6.03,11.3,0.51,17.95,NA
"TC12_ic_glance_allocation_time",1,"HC",26,21,0.62,0.27,0.69,0.08,0.99,NA
"TC12_ic_glance_allocation_time",1,"LC",26,19,0.97,1.23,0.56,0.04,5.62,NA
"TC12_ic_glance_allocation_time",2,"HC",33,31,0.81,0.6,0.63,0.09,3.01,NA
"TC12_ic_glance_allocation_time",2,"LC",28,11,1.58,1.46,1.09,0.05,4.32,NA
"TC12_ic_glance_allocation_time",3,"HC",23,18,1.13,0.97,0.78,0.24,3.77,NA
"TC12_ic_glance_allocation_time",3,"LC",19,10,2.03,1.28,2.17,0.12,4.11,NA
"TC10_ic_total_duration",1,"HC",26,22,8.09,3.05,7.48,3.04,14.39,NA
"TC10_ic_total_duration",1,"LC",26,25,6.48,4.43,5.81,0,15.16,NA
"TC10_ic_total_duration",2,"HC",33,31,6.88,4.09,5.57,1.67,16.44,NA
"TC10_ic_total_duration",2,"LC",28,24,6.48,5.31,5.74,0,16.16,NA
"TC10_ic_total_duration",3,"HC",23,20,4.5,4.38,3.62,0,18.42,NA
"TC10_ic_total_duration",3,"LC",19,16,3.36,4.96,0.33,0,15.08,NA
"TC10_street_total_duration",1,"HC",26,22,1.66,1.84,1,0,7.42,NA
"TC10_street_total_duration",1,"LC",26,25,1.05,2.04,0,0,7.22,NA
"TC10_street_total_duration",2,"HC",33,31,0.84,1.25,0.51,0,6.05,NA
"TC10_street_total_duration",2,"LC",28,24,1.4,1.35,0.91,0,4.42,NA
"TC10_street_total_duration",3,"HC",23,20,1.43,2.65,0.51,0,10.61,NA
"TC10_street_total_duration",3,"LC",19,16,2.05,3.93,0.56,0,15.95,NA
"TC10_surt_total_duration",1,"HC",26,22,3.84,3.27,2.68,0,8.69,NA
"TC10_surt_total_duration",1,"LC",26,25,6.23,7.35,2.48,0.1,20,NA
"TC10_surt_total_duration",2,"HC",33,31,3.52,4.39,1.09,0,14.89,NA
"TC10_surt_total_duration",2,"LC",28,24,7.59,7.55,4.22,0,20,NA
"TC10_surt_total_duration",3,"HC",23,20,5.75,7.03,1.17,0,20,NA
"TC10_surt_total_duration",3,"LC",19,16,12.86,7.25,14.44,0,20,NA
"TC10_wheel_total_duration",1,"HC",26,22,1.02,1.16,0.9,0,5.17,NA
"TC10_wheel_total_duration",1,"LC",26,25,0.31,0.41,0,0,1.54,NA
"TC10_wheel_total_duration",2,"HC",33,31,0.29,0.39,0,0,1.34,NA
"TC10_wheel_total_duration",2,"LC",28,24,0.19,0.42,0,0,1.81,NA
"TC10_wheel_total_duration",3,"HC",23,20,0.4,1.41,0,0,6.31,NA
"TC10_wheel_total_duration",3,"LC",19,16,0.1,0.26,0,0,0.85,NA
"TC12_ic_total_duration",1,"HC",26,22,2.8,1.32,2.72,0.8,5.19,NA
"TC12_ic_total_duration",1,"LC",26,25,2.86,1.65,2.54,0,5.85,NA
"TC12_ic_total_duration",2,"HC",33,32,2.12,1.18,1.69,0.06,4.62,NA
"TC12_ic_total_duration",2,"LC",28,25,2.84,2.05,3.5,0,5.69,NA
"TC12_ic_total_duration",3,"HC",23,20,2.12,1.34,1.69,0.03,5.03,NA
"TC12_ic_total_duration",3,"LC",19,16,2.08,1.87,2.03,0,4.83,NA
"TC12_street_total_duration",1,"HC",26,22,0.48,0.48,0.32,0,1.45,NA
"TC12_street_total_duration",1,"LC",26,25,0.43,0.59,0.28,0,2.07,NA
"TC12_street_total_duration",2,"HC",33,32,0.49,0.58,0.4,0,2.63,NA
"TC12_street_total_duration",2,"LC",28,25,0.38,0.41,0.31,0,1.65,NA
"TC12_street_total_duration",3,"HC",23,20,0.66,0.98,0.23,0,3.98,NA
"TC12_street_total_duration",3,"LC",19,16,0.49,0.79,0,0,2.43,NA
"TC12_surt_total_duration",1,"HC",26,22,0.62,0.3,0.72,0,0.99,NA
"TC12_surt_total_duration",1,"LC",26,25,1.18,1.84,0.51,0,6,NA
"TC12_surt_total_duration",2,"HC",33,32,0.61,0.45,0.59,0,1.9,NA
"TC12_surt_total_duration",2,"LC",28,25,2.11,2.28,1.09,0,6,NA
"TC12_surt_total_duration",3,"HC",23,20,0.85,0.93,0.68,0,3.77,NA
"TC12_surt_total_duration",3,"LC",19,16,2.92,2.63,2.33,0,6,NA
"TC12_wheel_total_duration",1,"HC",26,22,0.32,0.33,0.4,0,1.12,NA
"TC12_wheel_total_duration",1,"LC",26,25,0.22,0.25,0.15,0,0.73,NA
"TC12_wheel_total_duration",2,"HC",33,32,0.15,0.27,0,0,0.95,NA
"TC12_wheel_total_duration",2,"LC",28,25,0.2,0.39,0,0,1.24,NA
"TC12_wheel_total_duration",3,"HC",23,20,0.02,0.08,0,0,0.34,NA
"TC12_wheel_total_duration",3,"LC",19,16,0.11,0.27,0,0,0.94,NA
"TC10_ic_mean_duration",1,"HC",26,22,1.92,0.83,1.89,0.76,3.77,NA
"TC10_ic_mean_duration",1,"LC",26,22,2.89,2.81,2.15,0.8,14.49,NA
"TC10_ic_mean_duration",2,"HC",33,31,3.3,2.29,2.61,1.02,11.85,NA
"TC10_ic_mean_duration",2,"LC",28,19,3.14,1.4,3.22,1,6.97,NA
"TC10_ic_mean_duration",3,"HC",23,18,3.09,2.4,2.04,0.52,9.21,NA
"TC10_ic_mean_duration",3,"LC",19,8,2.83,1.21,2.87,0.66,4.75,NA
"TC10_street_mean_duration",1,"HC",26,19,0.65,0.39,0.56,0.24,1.85,NA
"TC10_street_mean_duration",1,"LC",26,12,0.67,0.51,0.53,0.12,1.8,NA
"TC10_street_mean_duration",2,"HC",33,19,0.95,1.3,0.56,0.32,6.05,NA
"TC10_street_mean_duration",2,"LC",28,20,0.72,0.43,0.64,0.26,2.21,NA
"TC10_street_mean_duration",3,"HC",23,13,1.18,1.48,0.54,0.04,5.3,NA
"TC10_street_mean_duration",3,"LC",19,11,1.45,1.53,0.61,0.39,5.32,NA
"TC10_surt_mean_duration",1,"HC",26,21,3.38,3.29,2.28,0.41,8.69,NA
"TC10_surt_mean_duration",1,"LC",26,25,4.31,6.34,1.04,0.1,20,NA
"TC10_surt_mean_duration",2,"HC",33,27,3.06,3.73,1.19,0.48,13.74,NA
"TC10_surt_mean_duration",2,"LC",28,22,4.32,5.47,2.9,0.61,20,NA
"TC10_surt_mean_duration",3,"HC",23,15,5.38,6.06,2.67,0.56,20,NA
"TC10_surt_mean_duration",3,"LC",19,15,9.12,6.34,8.13,1.1,20,NA
"TC10_wheel_mean_duration",1,"HC",26,18,0.63,0.3,0.59,0.14,1.19,NA
"TC10_wheel_mean_duration",1,"LC",26,12,0.58,0.34,0.5,0.2,1.54,NA
"TC10_wheel_mean_duration",2,"HC",33,15,0.52,0.23,0.56,0.15,1.12,NA
"TC10_wheel_mean_duration",2,"LC",28,7,0.54,0.3,0.64,0.01,0.91,NA
"TC10_wheel_mean_duration",3,"HC",23,4,1.21,1.3,0.66,0.36,3.15,NA
"TC10_wheel_mean_duration",3,"LC",19,2,0.76,0.12,0.76,0.68,0.85,NA
"TC12_ic_mean_duration",1,"HC",26,22,1.29,0.6,1.18,0.29,2.82,NA
"TC12_ic_mean_duration",1,"LC",26,23,1.75,1.51,1.24,0.38,5.6,NA
